date,aTeam,hTeam,per,time,arena,goalscorer,primary,secondary
2016-04-27,NSH,ANA,1,06:19,Honda Center,Colin Wilson,Unassisted,None
2016-04-28,PIT,WSH,3,08:42,Verizon Center,Nick Bonino,,
2016-04-29,STL,DAL,3,11:32,American Airlines Center,Kevin Shattenkirk,,
2016-05-03,SJS,NSH,3,06:55,Bridgestone Arena,Colin Wilson,,
2016-05-05,SJS,NSH,1,00:41,Bridgestone Arena,Colin Wilson,,
2016-05-09,SJS,NSH,3,12:44,Bridgestone Arena,Colin Wilson,,
2016-05-10,WSH,PIT,4,06:32,CONSOL Energy Center,Nick Bonino,,
2016-05-24,PIT,TBL,3,19:06,Amalie Arena,Nick Bonino,,None
2016-05-30,SJS,PIT,3,17:27,CONSOL Energy Center,Nick Bonino,,
2017-04-12,CBJ,PIT,2,16:25,PPG Paints Arena,Nick Bonino,,
2017-04-16,MIN,STL,2,12:59,Scottrade Center,Charlie Coyle,,
2017-04-19,MIN,STL,1,16:50,Scottrade Center,Charlie Coyle,Unassisted,None
2017-04-26,NSH,STL,1,11:24,Scottrade Center,Colin Wilson,,
2017-04-27,PIT,WSH,3,12:36,Verizon Center,Nick Bonino,,
2017-05-01,WSH,PIT,4,03:13,PPG Paints Arena,Kevin Shattenkirk,,
2017-05-20,NSH,ANA,2,19:19,Honda Center,Colin Wilson,,
2017-05-29,NSH,PIT,1,19:43,PPG Paints Arena,Nick Bonino,,None
2017-05-29,NSH,PIT,3,18:58,PPG Paints Arena,Nick Bonino,,None
2018-04-15,WPG,MIN,2,15:00,Xcel Energy Center,Jordan Greenway,,
2018-04-20,COL,NSH,3,10:18,Bridgestone Arena,Nick Bonino,,
2018-04-22,NSH,COL,2,08:26,Pepsi Center,Nick Bonino,,
2018-04-30,BOS,TBL,1,18:30,Amalie Arena,Charlie McAvoy,,
2018-05-07,WSH,PIT,2,02:13,PPG Paints Arena,Alex Chiasson,,
2019-04-13,TOR,BOS,1,04:44,TD Garden,Charlie Coyle,,None
2019-04-13,COL,CGY,2,07:16,Scotiabank Saddledome,Matt Nieto,Unassisted,None
2019-04-15,BOS,TOR,2,19:22,Scotiabank Arena,Charlie Coyle,,Matt Grzelcyk
2019-04-15,CGY,COL,2,07:51,Pepsi Center,Matt Nieto,,
2019-04-17,BOS,TOR,1,03:03,Scotiabank Arena,Charlie McAvoy,Charlie Coyle,Matt Grzelcyk
2019-04-19,COL,CGY,2,06:52,Scotiabank Saddledome,Colin Wilson,,None
2019-04-19,COL,CGY,2,14:47,Scotiabank Saddledome,Colin Wilson,,
2019-04-23,TOR,BOS,3,17:26,TD Garden,Charlie Coyle,,None
2019-04-25,CBJ,BOS,3,15:25,TD Garden,Charlie Coyle,,
2019-04-25,CBJ,BOS,4,05:15,TD Garden,Charlie Coyle,,
2019-04-26,COL,SJS,2,03:56,SAP Center at San Jose,Colin Wilson,,
2019-04-27,CBJ,BOS,1,07:50,TD Garden,Matt Grzelcyk,Charlie McAvoy,
2019-04-28,COL,SJS,3,10:10,SAP Center at San Jose,Matt Nieto,,
2019-04-30,SJS,COL,3,11:45,Pepsi Center,Matt Nieto,,
2019-05-02,SJS,COL,3,03:11,Pepsi Center,Colin Wilson,,None
2019-05-09,CAR,BOS,3,17:47,TD Garden,Charlie Coyle,,
2019-05-12,CAR,BOS,2,17:56,TD Garden,Matt Grzelcyk,Charlie Coyle,
