last,first,name,height,DOB,homeTown,year,season,city,state,country
Neviackas,Veto,Veto Neviackas,-,,,1938,1938-39,,,
Nickles,-,- Nickles,-,,,1938,1938-39,,,
O'Sullivan,Joseph,Joseph O'Sullivan,-,,,1938,1938-39,,,
Reed,Larry,Larry Reed,-,,,1938,1938-39,,,
Richardson,Ed,Ed Richardson,-,,,1938,1938-39,,,
Walker,John,John Walker,-,,,1938,1938-39,,,
Wilkens,Ray,Ray Wilkens,-,,,1938,1938-39,,,
Williams,Lytle,Lytle Williams,-,,,1938,1938-39,,,
Blasenak,Howard,Howard Blasenak,-,,,1939,1939-40,,,
Bott,David,David Bott,-,,,1939,1939-40,,,
Brown,Paul,Paul Brown,-,,,1939,1939-40,,,
Chambers,John,John Chambers,5-9,7/9/1917,"Needham, Massachusetts",1939,1939-40,Needham,Massachusetts,United States
Conaty,Joe,Joe Conaty,-,,,1939,1939-40,,,
Dewhurst,Dave,Dave Dewhurst,-,,,1939,1939-40,,,
Elliot,John,John Elliot,-,,,1939,1939-40,,,
Farrell,Ed,Ed Farrell,-,,,1939,1939-40,,,
Hall,Robert,Robert Hall,-,,,1939,1939-40,,,
Hines,Bud,Bud Hines,-,,,1939,1939-40,,,
Lange,Bob,Bob Lange,-,,,1939,1939-40,,,
Lind,Bob,Bob Lind,-,,,1939,1939-40,,,
Reed,Larry,Larry Reed,-,,,1939,1939-40,,,
Richardson,Ed,Ed Richardson,-,,,1939,1939-40,,,
Richardson,Earl,Earl Richardson,-,,,1939,1939-40,,,
Shoemaker,Bill,Bill Shoemaker,-,,,1939,1939-40,,,
Sullivan,Henry,Henry Sullivan,-,,,1939,1939-40,,,
Wilkens,Ray,Ray Wilkens,-,,,1939,1939-40,,,
Blasenak,Howard,Howard Blasenak,-,,,1940,1940-41,,,
Bott,David,David Bott,-,,,1940,1940-41,,,
Breeyear,Bill,Bill Breeyear,-,,,1940,1940-41,,,
Brown,Will,Will Brown,-,,,1940,1940-41,,,
Brown,Paul,Paul Brown,-,,,1940,1940-41,,,
Chambers,John,John Chambers,5-9,7/9/1917,"Needham, Massachusetts",1940,1940-41,Needham,Massachusetts,United States
Davidson,James,James Davidson,-,,,1940,1940-41,,,
Dewhurst,Dave,Dave Dewhurst,-,,,1940,1940-41,,,
Farrell,Ed,Ed Farrell,-,,,1940,1940-41,,,
Hines,Bud,Bud Hines,-,,,1940,1940-41,,,
MacArthur,Burt,Burt MacArthur,-,8/14/1920,"Halifax, Nova Scotia",1940,1940-41,Halifax,Nova Scotia,Canada
Neilson,George,George Neilson,-,,,1940,1940-41,,,
Pollard,Bill,Bill Pollard,-,,,1940,1940-41,,,
Reed,Larry,Larry Reed,-,,,1940,1940-41,,,
Shoemaker,Bill,Bill Shoemaker,-,,,1940,1940-41,,,
Sullivan,Henry,Henry Sullivan,-,,,1940,1940-41,,,
Anderson,Francis,Francis Anderson,-,,,1941,1941-42,,,
Balmforth,Ed,Ed Balmforth,-,,,1941,1941-42,,,
Blasenak,Howard,Howard Blasenak,-,,,1941,1941-42,,,
Breeyear,Bill,Bill Breeyear,-,,,1941,1941-42,,,
Brown,Will,Will Brown,-,,,1941,1941-42,,,
Cargill,Philip,Philip Cargill,-,,,1941,1941-42,,,
Carle,Owen,Owen Carle,-,,,1941,1941-42,,,
Crowley,Robert,Robert Crowley,-,,,1941,1941-42,,,
Cugini,Larry,Larry Cugini,-,,,1941,1941-42,,,
Davidson,James,James Davidson,-,,,1941,1941-42,,,
Dorr,Ernie,Ernie Dorr,-,,,1941,1941-42,,,
Fernald,Denny,Denny Fernald,-,,,1941,1941-42,,,
Gulley,Leo,Leo Gulley,-,,,1941,1941-42,,,
Kuhn,William,William Kuhn,-,,,1941,1941-42,,,
MacArthur,Burt,Burt MacArthur,-,8/14/1920,"Halifax, Nova Scotia",1941,1941-42,Halifax,Nova Scotia,Canada
Neilson,George,George Neilson,-,,,1941,1941-42,,,
O'Sullivan,Pete,Pete O'Sullivan,-,,,1941,1941-42,,,
Richey,George,George Richey,-,,,1941,1941-42,,,
Shoemaker,Bill,Bill Shoemaker,-,,,1941,1941-42,,,
Spang,John,John Spang,-,,,1941,1941-42,,,
Sullivan,Henry,Henry Sullivan,-,,,1941,1941-42,,,
Anderson,Francis,Francis Anderson,-,,,1942,1942-43,,,
Balmforth,Ed,Ed Balmforth,-,,,1942,1942-43,,,
Barr,David,David Barr,-,,,1942,1942-43,,,
Black,Charlie,Charlie Black,-,,,1942,1942-43,,,
Breeyear,Bill,Bill Breeyear,-,,,1942,1942-43,,,
